price,pshop,pname
¥5499.00,联想自营官方旗舰店,拯救者Y7000电脑(i5-8300H/8G内存/512G SSD/GTX1050 2G显卡)黑色81FW000PCD
¥6299.00,联想自营官方旗舰店,拯救者Y7000电脑(i5-8300H/8G内存/512G SSD/GTX1050Ti 4G显卡/72%NTSC)黑色81FW000SCD
¥6599.00,联想自营官方旗舰店,拯救者Y7000P电脑(i5-8300H/8G内存/512G SSD/GTX1050Ti 4G/144Hz/72%NTSC)黑色81HC0009CD
¥6999.00,联想自营官方旗舰店,拯救者Y7000电脑(i7-8750H/8G内存/512G SSD/GTX1050Ti 4G显卡/72%NTSC)黑色81FW000UCD
¥5000.00,富银数码科技,Lenovo/联想 笔记本电脑第七代 全新第七代i7 2G独显
¥8099.00,联想自营官方旗舰店,拯救者Y7000电脑(i7-8750H/8G内存/512G SSD/GTX1060 6G/72%NTSC)黑色81LC0004CD
¥7599.00,联想自营官方旗舰店,拯救者Y7000P电脑(i5-8300H/8G内存/512G SSD/GTX1060 6G显卡/144Hz)黑色81LE0005CD
¥5000.00,富银数码科技,HP/惠普 笔记本电脑 第八代 全新处理器 2G独显
¥2265.00,方正Apple官方授权专营店,Apple iPad（2018新款） 平板电脑 9.7英寸
¥1.00,陕西金美格商贸有限责任公司,运费补差
¥4099.00,联想自营官方旗舰店,联想ideapad330C电脑(I5-8250U/4G内存/1T HDD+128G SSD/2GB显卡/15.6英寸)黑色81J60001CD
¥2308.00,索亚尼Apple产品专营店,【年货节抢购 送好礼】2018款 Apple/苹果 iPad 9.7英寸 平板电脑
¥950.00,汉中星际数码有限公司,教育平板-10英寸-WiFi版 Lenovo TB2-X30F TAB 16GBE-CN-EDU
¥4999.00,富银数码科技,Lenovo/联想 小新 经典版300 第六代i7笔记本电脑 游戏本手提电脑
¥4999.00,富银数码科技,家用办公游戏娱乐一体机电脑Dell/戴尔 I3455-2448W
¥5499.00,联想自营官方旗舰店,拯救者Y7000电脑(i5-8300H/8G内存/512G SSD/GTX1050 2G显卡)黑色81FW000PCD
¥2265.00,方正Apple官方授权专营店,Apple iPad（2018新款） 平板电脑 9.7英寸
¥890.00,陕西金美格商贸有限责任公司,联想YOGA平板 3 8英寸 WiFi版
¥4999.00,富银数码科技,Lenovo/联想 小新 经典版300 第六代i7笔记本电脑 游戏本手提电脑
¥4850.00,富银数码科技,HP/惠普 HP 15 ac-651tx笔记本电脑i5游戏本超薄手提电脑15.6英寸240G 固态 2Gddr5独显
¥4999.00,富银数码科技,家用办公游戏娱乐一体机电脑Dell/戴尔 I3455-2448W
¥4899.00,富银数码科技,HP/惠普 HP15 -ac601TX 15.6英寸高分屏i7 2G独显游戏笔记本电脑
¥4999.00,富银数码科技,攀升兄弟 AOC四核i5/GTX950独显游戏一体机电脑台式组装机整机
¥5000.00,富银数码科技,HP/惠普 笔记本电脑 第八代 全新处理器 2G独显 256G固态
¥4966.00,富银数码科技,Lenovo/联想 小新 310-14ISK 酷睿i7固态128G独显商务笔记本电脑
¥4999.00,富银数码科技,HP/惠普14英寸八代i5独显 轻薄便携商务办公学生手提笔记本电脑女
¥2188.00,龙翔通讯官方旗舰店,2018款Apple iPad 9.7英寸平板电脑
¥4999.00,富银数码科技,QRTECH 麦本本 锋麦S GTX960M独显i5游戏本 15英寸手提笔记本电脑
¥3999.00,富银数码科技,平板二合一12.2英寸平板电脑win10 WIFI 128GB PC
¥1858.00,左辅数码科技（上海）有限公司,【赠送高级皮套+防爆钢化膜】 Apple/苹果 iPad mini 4平板7.9英寸mini4迷你4平板电脑
¥3500.00,富银数码科技,Lenovo/联想 S41-35 A4-7210 四核 独显 超薄笔记本电脑
¥4966.00,富银数码科技,Lenovo/联想 小新 310-14ISK 酷睿i7固态128G独显商务笔记本电脑
¥4999.00,富银数码科技,QRTECH 麦本本 锋麦S GTX960M独显i5游戏本 15英寸手提笔记本电脑
¥3500.00,富银数码科技,Lenovo/联想 S41-35 A4-7210 四核 独显 超薄笔记本电脑
¥10000.00,江苏新圆梦旗舰店（官方直营）,本产品为现场020商品，线上购买线下发货，其他客户下单不发货Lenovo/联想 YOGA 5 Pro YOGA910-13IKB超极本超薄便携笔记本
¥2999.00,富银数码科技,QRTECH 麦本本 小麦2S 独显游戏本 15英寸i5超薄笔记本 手提电脑
¥4999.00,富银数码科技,Lenovo/联想 拯救者固态硬盘搭配GTX1050显卡 超高性价比笔记本手提电脑15.6英寸
¥2999.00,富银数码科技,QRTECH 麦本本 小麦2S 独显游戏 本 15英寸i5超薄笔记本 手提电脑
¥4099.00,江苏辰梵电子科技有限公司,Lenovo/联想 Flex14 A4-5000 4G 500G 2G独显 超级本 十点触控 翻转
¥3899.00,江苏辰梵电子科技有限公司,Lenovo/联想 Flex14 E2-3800 4G 500G 2G独显 超级本 十点触控 翻转
¥7099.00,江苏辰梵电子科技有限公司,Lenovo/联想 Yoga2 pro13 I5-4200 4G 500G 超级本 十点触控 翻转
¥8999.00,天创 笔记本专卖,东芝U920超级本、平板二合一
¥8499.00,星城朝阳数码,ThinkPad X1 Carbon (20FBA00DCD) 14英寸超极笔记本电脑
¥6999.00,云南卓腾科技有限公司,ThinkPad笔记本 S3 YOGA-20DM000RCD（陨石银）
¥9999.00,云南卓腾科技有限公司,ThinkPad笔记本 X1 NewCarbon-20A7A04ACD
¥50.00,富银数码科技,暗骑士无线键盘鼠标套装笔记本台式电脑键鼠家用办公游戏
¥15999.00,戴尔官方旗舰店（分期店）,外星人 Alienware Aurora R7 -R3838S水冷吃鸡游戏台式电脑主机
¥4999.00,富银数码科技,攀升兄弟 AOC四核i5/GTX950独显游戏一体机电脑台式组装机整机
¥4999.00,富银数码科技,27寸i7超薄办公家用游戏台式整机主机
¥4350.00,科硕网络,联想（Lenovo） AIO 520-22 新款致美一体机电脑四核八代家用办公窄边框 银色 I3-8100T 4G 128G 核显 21.5
¥9888.00,德富通（天津）商贸有限公司,苹果iMac 一台机
¥2699.00,戴尔官方旗舰店（分期店）,戴尔DELL灵越3000系列3275-1608B21.5英寸微边框高清一体机台式电脑A6-9225/4G/1T(按按压摄像头 3年上门保修）
¥10699.00,苏州奥卡购物广场,Apple iMac 21.5英寸一体机 4K 银色 2017 Core i5 QC RP560 8GB+1TB FD MNE02CH/A
¥3430.00,济南正渠商贸有限公司,联想一体机/台式机电脑Lenovo/联想C340-飞悦型(黑色)
¥3398.00,济南正渠商贸有限公司,C560升级联想一体机电脑C5030 3558U 4G 1T 2G独显 2G独显 23寸
¥3999.00,济南秦汉商贸有限公司,联想一体机电脑C5030台式机i3-4030U 4G内存1T硬盘2G独显 黑白色
¥3099.00,济南秦汉商贸有限公司,联想台式机电脑F5055 SX2 250 1G独立显卡 家用办公整机 20LED
¥5799.00,济南秦汉商贸有限公司,联想B5040 I5-4460/8G/1T/2G 23LED
