pshop,price,pname
方正Apple官方授权专营店,¥2265.00,Apple iPad（2018新款） 平板电脑 9.7英寸
索亚尼Apple产品专营店,¥2308.00,【年货节抢购 送好礼】2018款 Apple/苹果 iPad 9.7英寸 平板电脑
汉中星际数码有限公司,¥950.00,教育平板-10英寸-WiFi版 Lenovo TB2-X30F TAB 16GBE-CN-EDU
龙翔通讯官方旗舰店,¥2188.00,2018款Apple iPad 9.7英寸平板电脑
富银数码科技,¥3999.00,平板二合一12.2英寸平板电脑win10 WIFI 128GB PC
左辅数码科技（上海）有限公司,¥1858.00,【赠送高级皮套+防爆钢化膜】 Apple/苹果 iPad mini 4平板7.9英寸mini4迷你4平板电脑
深圳市合烁数码有限公司,¥5639.00,2018Apple iPad Pro 平板电脑 2018年新款 11英寸/12.9英寸 WLAN版/全面屏 【学生价特价】
北京安通通讯设备有限公司,¥2565.00,Apple iPad 9.7英寸 32G 全国联保
索亚尼Apple产品专营店,¥5788.00,【年货节抢购 赠好礼】2018年款 Apple iPad Pro wifi版平板电脑 11英寸/12.9英寸
左辅数码科技（上海）有限公司,¥4468.00,【赠送高级皮套+防爆钢化膜】 新款Apple苹果 iPad Pro10.5 英寸ipad pro平板电脑 Wifi/4G版
伟义丰数码产品专营店,¥2358.00,18年苹果新款 Apple iPad 9.7英寸 WIFI版平板电脑
TSM数码旗舰店,¥2288.00,"【赠壳膜,现货速发】苹果 Apple iPad 9.7英寸 2018新款 第6代 苹果平板电脑 2018新款iPad"
承易购商城,¥2499.00,2018年款 Apple iPad 平板电脑 9.7英寸（A10 芯片/Retina显示屏/Touch ID ）
深圳市合烁数码有限公司,¥2208.00,2018新款Apple iPad 平板电脑 9.7英寸 非学生价赠送保护壳 顺丰包邮 【学生价/12期免息】
富银数码科技,¥690.00,酷比魔方 iwork8旗舰版 WIFI 32GB 8英寸64位四核WIN10平板电脑
TSM数码旗舰店,¥2688.00,Apple iPad mini4 WIFI版 苹果平板电脑 苹果iPadmini4
