price,bname
￥83.30（7折）,Effective Java中文版（原书第3版）
￥40.05（4.5折）,(特价书)深入解析WordPress(原书第2版)
￥17.55（4.5折）,(特价书)PaaS程序设计
￥31.05（4.5折）,(特价书)Android入门经典
￥31.05（4.5折）,(特价书)深入实践C++模板编程
￥14.50（5折）,(特价书)编译原理实践与指导教程
￥14.85（4.5折）,(特价书)Java程序设计习题精析与实验指导
￥40.05（4.5折）,(特价书)JavaScript物联网：架构与数据处理
￥35.55（4.5折）,(特价书)区块链开发实战：Hyperledger Fabric关键技术与案例分析
￥31.05（4.5折）,(特价书)区块链开发实战：以太坊关键技术与案例分析
￥26.55（4.5折）,(特价书)RocketMQ实战与原理解析
￥40.05（4.5折）,(特价书)结构化并行程序设计：高效计算模式
￥26.55（4.5折）,(特价书)OpenCV Android开发实战
￥26.55（4.5折）,(特价书)神经网络编程实战：Java语言实现（原书第2版）
￥53.55（4.5折）,(特价书)利用Python进行数据分析（原书第2版）
￥40.05（4.5折）,(特价书)Spring Boot 开发实战
￥35.55（4.5折）,(特价书)Scratch趣味编程：逻辑思维培养与训练
￥58.05（4.5折）,(特价书)C#从现象到本质
￥31.05（4.5折）,(特价书)从零开始学Python数据分析：视频教学版
￥58.05（4.5折）,(特价书)Flask Web开发实战：入门、进阶与原理解析
￥35.55（4.5折）,(特价书)Python自然语言处理
￥62.30（7折）,OpenCV 3和Qt5计算机视觉应用开发
￥62.30（7折）,分布式实时系统原理与设计方法（原书第2版）
￥62.30（7折）,Python机器学习（原书第2版）
￥48.30（7折）,RocketMQ技术内幕：RocketMQ架构设计与实现原理
￥48.30（7折）,数据科学实战之网络爬取：Python实践和示例
￥112.00（7折）,[套装书]Java编程思想(第4版)+Effective Java中文版(第2版)（2册）
￥69.30（7折）,Python程序设计基础（原书第4版）
￥48.30（7折）,R用户Python学习指南：数据科学方法
￥69.30（7折）,程序设计导论：Python计算与应用开发实践（原书第2版）
￥48.30（7折）,机器学习：使用OpenCV和Python进行智能图像处理
￥48.30（7折）,零基础轻松学Java
￥12.65（5.5折）,(特价书)C语言课程设计
￥35.55（4.5折）,(特价书)程序设计基础：原书第3版
￥47.52（4.8折）,(特价书)IT基础架构：系统运维实践
￥33.12（4.8折）,(特价书)基于深度学习的自然语言处理
￥37.92（4.8折）,(特价书)NetDevOps入门与实践
￥42.72（4.8折）,(特价书)Java高并发编程详解：多线程与架构设计
￥47.52（4.8折）,(特价书)Go语言从入门到进阶实战：视频教学版
￥47.52（4.8折）,(特价书)R语言机器学习
￥47.52（4.8折）,(特价书)程序设计基础：跨学科方法（Java语言描述·英文版）
￥44.55（4.5折）,(特价书)Java语言程序设计与数据结构（基础篇）（原书第11版）
￥28.32（4.8折）,(特价书)机器学习与深度学习：通过C语言模拟
￥33.12（4.8折）,(特价书)Java 9模块化开发：核心原则与实践
￥33.12（4.8折）,(特价书)高性能分布式计算系统开发与实现：基于Hadoop、Scalding和Spark
￥47.52（4.8折）,(特价书)Python数据科学：技术详解与商业实践
￥44.55（4.5折）,(特价书)NIO与Socket编程技术指南
￥33.12（4.8折）,(特价书)Elasticsearch搜索引擎开发实战
￥42.72（4.8折）,(特价书)PHP高性能开发：基础、框架与项目实战
￥37.92（4.8折）,(特价书)React Native 精解与实战
￥42.72（4.8折）,(特价书)Vue.js项目开发实战
￥28.32（4.8折）,(特价书)Scratch真好玩：教小孩学编程
￥37.92（4.8折）,(特价书)Spring Cloud微服务架构开发实战
￥37.92（4.8折）,(特价书)Android插件化开发指南
￥40.05（4.5折）,(特价书)深入浅出Rust
￥48.30（7折）,OpenStack CI/CD：原理与实践
￥83.30（7折）,Python程序设计（原书第2版）
￥153.30（7折）,Python学习手册（原书第5版）
￥55.30（7折）,PHP 7从零基础到项目实战
￥62.30（7折）,DevOps和自动化运维实践
￥48.30（7折）,深度学习实践：基于Caffe的解析
￥41.30（7折）,机器学习：Go语言实现
￥69.30（7折）,Java语言程序设计与数据结构（进阶篇）（原书第11版）
￥69.30（7折）,Julia语言程序设计
￥55.30（7折）,手机安全和可信应用开发指南:TrustZone与OP-TEE技术详解
￥139.30（7折）,Python 3标准库
￥55.30（7折）,Clojure编程实战（原书第2版）
￥48.30（7折）,内容即未来：数字产品规划与建模
￥51.75（7.5折）,造个小程序 与微信一起干件正经事儿
￥55.30（7折）,Python深度学习：基于TensorFlow
￥62.30（7折）,自己动手实现Lua：虚拟机、编译器和标准库
￥55.20（8折）,HTML5 CSS3 jQuery Mobile APP与移动网站设计从入门到精通
￥71.20（8折）,软件设计师考试同步辅导（上午科目）（第4版）
￥68.80（8折）,软件设计师考试同步辅导（下午科目）（第4版）
￥63.20（8折）,程序员考试同步辅导（上午科目）（第3版）
￥55.20（8折）,程序员考试同步辅导（下午科目）（第3版）
￥68.00（8折）,程序员考试同步辅导——考点串讲、真题详解与强化训练（第3版）
￥76.80（8折）,软件设计师考试同步辅导——考点串讲、真题详解与强化训练（第3版）
￥62.30（7折）,Java机器学习
￥79.20（8折）,码出高效：Java开发手册
￥62.30（7折）,跟着项目学iOS应用开发：基于Swift 4
￥355.30（8.5折）,[套装书]Java编程思想+Effective Java中文版+Java核心技术 卷Ⅰ+Java核心技术 卷Ⅱ（4册）
￥39.20（8折）,Java程序设计第一课
￥39.20（8折）,Python程序设计第一课
￥62.30（7折）,Docker技术入门与实战 第3版
￥90.30（7折）,PHP核心技术与最佳实践（第2版）
￥55.20（8折）,深入浅出数据科学
￥79.20（8折）,App Inventor开发训练营
￥63.20（8折）,Android移动应用开发实践教程
￥55.20（8折）,jQuery EasyUI从零开始学
￥39.20（8折）,Silverlight应用与开发
￥71.20（8折）,Scratch编程从入门到精通
￥63.20（8折）,Go语言编程入门与实战技巧
￥76.30（7折）,数据结构与算法：Python语言实现
￥47.20（8折）,Python数据可视化之matplotlib实践
￥47.84（8折）,Android Telephony原理解析与开发指南
￥55.30（7折）,Python自然语言处理
￥63.84（8折）,HTML5+CSS3+JavaScript从入门到精通（微课精编版）
￥31.20（8折）,Android移动开发详解——从基础入门到乐享开发
￥63.84（8折）,Java从入门到精通 精粹版
￥63.84（8折）,C语言从入门到精通 精粹版
￥47.84（8折）,Hadoop集群程序设计与开发
￥39.84（8折）,Python微控制器编程从零开始 使用MicroPython
￥90.30（7折）,Flask Web开发实战：入门、进阶与原理解析
￥55.84（8折）,Java EE框架整合开发入门到实战——Spring+Spring MVC+MyBatis（微课版）
￥55.20（8折）,Flask Web开发 基于Python的Web应用开发实战 第2版
￥86.40（8折）,macOS应用开发基础教程
￥79.20（8折）,Android应用案例开发大全 第4版
￥47.20（8折）,Python高性能 第2版
￥62.30（7折）,深入浅出Rust
￥71.20（8折）,自制编程语言 基于C语言
￥47.20（8折）,现代JavaScript编程：经典范例与实践技巧
￥47.20（8折）,React设计模式与最佳实践
￥71.20（8折）,程序员学Python
￥90.30（7折）,C#从现象到本质
￥39.84（8折）,Spark编程基础（Scala版）
￥39.84（8折）,Python网络爬虫实例教程（视频讲解版）
￥48.30（7折）,从零开始学Python数据分析：视频教学版
￥55.20（8折）,Android Studio程序设计案例教程-微课版
￥103.20（8折）,C语言编程从零开始学（视频教学版）
￥119.20（8折）,学习OpenCV 3（中文版）
